# Wall heat-flux
# Time         	patch          	min            	max            	integral       
25             	plate	6.2713694e+03	6.3425669e+03	1.2649770e+03
25             	riser	-5.1043396e+03	-3.7642711e+03	-9.2353928e+02
26             	plate	6.2714226e+03	6.3426378e+03	1.2649865e+03
26             	riser	-5.1043564e+03	-3.7643925e+03	-9.2354366e+02
27             	plate	6.2714767e+03	6.3427069e+03	1.2649961e+03
27             	riser	-5.1043742e+03	-3.7645112e+03	-9.2354805e+02
28             	plate	6.2715288e+03	6.3427740e+03	1.2650056e+03
28             	riser	-5.1043930e+03	-3.7646270e+03	-9.2355244e+02
29             	plate	6.2715772e+03	6.3428391e+03	1.2650151e+03
29             	riser	-5.1044127e+03	-3.7647398e+03	-9.2355682e+02
30             	plate	6.2622579e+03	6.3427753e+03	1.2648496e+03
30             	riser	-5.1051961e+03	-3.7658735e+03	-9.2369412e+02
31             	plate	6.2622973e+03	6.3428358e+03	1.2648591e+03
31             	riser	-5.1052167e+03	-3.7659796e+03	-9.2369844e+02
32             	plate	6.2623321e+03	6.3428940e+03	1.2648686e+03
32             	riser	-5.1052375e+03	-3.7660823e+03	-9.2370272e+02
33             	plate	6.2623623e+03	6.3429734e+03	1.2648781e+03
33             	riser	-5.1052584e+03	-3.7661813e+03	-9.2370697e+02
34             	plate	6.2623878e+03	6.3430571e+03	1.2648876e+03
34             	riser	-5.1052793e+03	-3.7662767e+03	-9.2371120e+02
35             	plate	6.2538725e+03	6.3429711e+03	1.2646955e+03
35             	riser	-5.1061851e+03	-3.7671094e+03	-9.2387007e+02
36             	plate	6.2538890e+03	6.3430514e+03	1.2647049e+03
36             	riser	-5.1062057e+03	-3.7671973e+03	-9.2387423e+02
37             	plate	6.2539014e+03	6.3431294e+03	1.2647144e+03
37             	riser	-5.1062261e+03	-3.7672815e+03	-9.2387834e+02
38             	plate	6.2539098e+03	6.3432050e+03	1.2647239e+03
38             	riser	-5.1062464e+03	-3.7673618e+03	-9.2388242e+02
39             	plate	6.2539144e+03	6.3432779e+03	1.2647334e+03
39             	riser	-5.1062665e+03	-3.7674383e+03	-9.2388645e+02
40             	plate	6.2472536e+03	6.3431589e+03	1.2645392e+03
40             	riser	-5.1071960e+03	-3.7680726e+03	-9.2404730e+02
41             	plate	6.2472513e+03	6.3432260e+03	1.2645487e+03
41             	riser	-5.1072159e+03	-3.7681416e+03	-9.2405121e+02
42             	plate	6.2472457e+03	6.3432900e+03	1.2645581e+03
42             	riser	-5.1072357e+03	-3.7682071e+03	-9.2405506e+02
43             	plate	6.2472372e+03	6.3433507e+03	1.2645676e+03
43             	riser	-5.1072556e+03	-3.7682689e+03	-9.2405888e+02
44             	plate	6.2472258e+03	6.3434082e+03	1.2645770e+03
44             	riser	-5.1072757e+03	-3.7683272e+03	-9.2406265e+02
45             	plate	6.2417518e+03	6.3432456e+03	1.2643738e+03
45             	riser	-5.1082559e+03	-3.7688583e+03	-9.2423136e+02
46             	plate	6.2417352e+03	6.3432962e+03	1.2643833e+03
46             	riser	-5.1082757e+03	-3.7689099e+03	-9.2423507e+02
47             	plate	6.2417161e+03	6.3433433e+03	1.2643927e+03
47             	riser	-5.1082953e+03	-3.7689583e+03	-9.2423875e+02
48             	plate	6.2416947e+03	6.3433869e+03	1.2644022e+03
48             	riser	-5.1083147e+03	-3.7690035e+03	-9.2424239e+02
49             	plate	6.2416711e+03	6.3434269e+03	1.2644116e+03
49             	riser	-5.1083339e+03	-3.7690458e+03	-9.2424598e+02
50             	plate	6.2371985e+03	6.3433478e+03	1.2642071e+03
50             	riser	-5.1093223e+03	-3.7695074e+03	-9.2441744e+02
51             	plate	6.2371708e+03	6.3437048e+03	1.2642165e+03
51             	riser	-5.1093411e+03	-3.7695441e+03	-9.2442096e+02
52             	plate	6.2371412e+03	6.3440441e+03	1.2642259e+03
52             	riser	-5.1093596e+03	-3.7695781e+03	-9.2442445e+02
53             	plate	6.2371098e+03	6.3443649e+03	1.2642353e+03
53             	riser	-5.1093779e+03	-3.7696097e+03	-9.2442792e+02
54             	plate	6.2370767e+03	6.3446665e+03	1.2642447e+03
54             	riser	-5.1093957e+03	-3.7696389e+03	-9.2443137e+02
55             	plate	6.2334673e+03	6.3447468e+03	1.2640345e+03
55             	riser	-5.1103913e+03	-3.7700578e+03	-9.2461389e+02
56             	plate	6.2334309e+03	6.3450085e+03	1.2640437e+03
56             	riser	-5.1104080e+03	-3.7700827e+03	-9.2461729e+02
57             	plate	6.2333929e+03	6.3452498e+03	1.2640530e+03
57             	riser	-5.1104240e+03	-3.7701056e+03	-9.2462066e+02
58             	plate	6.2333535e+03	6.3454704e+03	1.2640622e+03
58             	riser	-5.1104392e+03	-3.7701266e+03	-9.2462402e+02
59             	plate	6.2333126e+03	6.3456701e+03	1.2640715e+03
59             	riser	-5.1104534e+03	-3.7701459e+03	-9.2462735e+02
60             	plate	6.2305992e+03	6.3455972e+03	1.2638581e+03
60             	riser	-5.1114271e+03	-3.7705278e+03	-9.2482228e+02
61             	plate	6.2305557e+03	6.3457549e+03	1.2638673e+03
61             	riser	-5.1114392e+03	-3.7705440e+03	-9.2482557e+02
62             	plate	6.2305108e+03	6.3458916e+03	1.2638764e+03
62             	riser	-5.1114502e+03	-3.7705587e+03	-9.2482882e+02
63             	plate	6.2304647e+03	6.3460071e+03	1.2638855e+03
63             	riser	-5.1114612e+03	-3.7705721e+03	-9.2483204e+02
64             	plate	6.2304173e+03	6.3461016e+03	1.2638945e+03
64             	riser	-5.1114772e+03	-3.7705843e+03	-9.2483524e+02
65             	plate	6.2285632e+03	6.3458853e+03	1.2636870e+03
65             	riser	-5.1123967e+03	-3.7709253e+03	-9.2503447e+02
66             	plate	6.2285135e+03	6.3459376e+03	1.2636960e+03
66             	riser	-5.1124103e+03	-3.7709354e+03	-9.2503761e+02
67             	plate	6.2284627e+03	6.3459697e+03	1.2637049e+03
67             	riser	-5.1124225e+03	-3.7709445e+03	-9.2504071e+02
68             	plate	6.2284108e+03	6.3459812e+03	1.2637138e+03
68             	riser	-5.1124333e+03	-3.7709527e+03	-9.2504379e+02
69             	plate	6.2283578e+03	6.3459714e+03	1.2637227e+03
69             	riser	-5.1124459e+03	-3.7709602e+03	-9.2504683e+02
70             	plate	6.2272149e+03	6.3459516e+03	1.2635297e+03
70             	riser	-5.1132767e+03	-3.7712551e+03	-9.2524114e+02
71             	plate	6.2271599e+03	6.3463138e+03	1.2635385e+03
71             	riser	-5.1132912e+03	-3.7712611e+03	-9.2524408e+02
72             	plate	6.2271039e+03	6.3466604e+03	1.2635473e+03
72             	riser	-5.1133043e+03	-3.7712665e+03	-9.2524698e+02
73             	plate	6.2270470e+03	6.3469903e+03	1.2635560e+03
73             	riser	-5.1133157e+03	-3.7712713e+03	-9.2524983e+02
74             	plate	6.2269892e+03	6.3473030e+03	1.2635647e+03
74             	riser	-5.1133255e+03	-3.7712756e+03	-9.2525263e+02
75             	plate	6.2263459e+03	6.3472453e+03	1.2633909e+03
75             	riser	-5.1140476e+03	-3.7715242e+03	-9.2543599e+02
76             	plate	6.2262864e+03	6.3475217e+03	1.2633995e+03
76             	riser	-5.1140627e+03	-3.7715276e+03	-9.2543868e+02
77             	plate	6.2262262e+03	6.3477796e+03	1.2634081e+03
77             	riser	-5.1140763e+03	-3.7715306e+03	-9.2544132e+02
78             	plate	6.2261654e+03	6.3480189e+03	1.2634166e+03
78             	riser	-5.1140882e+03	-3.7715333e+03	-9.2544390e+02
79             	plate	6.2261039e+03	6.3482393e+03	1.2634251e+03
79             	riser	-5.1140984e+03	-3.7715357e+03	-9.2544643e+02
80             	plate	6.2257806e+03	6.3481166e+03	1.2632796e+03
80             	riser	-5.1146831e+03	-3.7717316e+03	-9.2560704e+02
81             	plate	6.2257182e+03	6.3482995e+03	1.2632881e+03
81             	riser	-5.1146896e+03	-3.7717334e+03	-9.2560944e+02
82             	plate	6.2256556e+03	6.3484637e+03	1.2632964e+03
82             	riser	-5.1146941e+03	-3.7717349e+03	-9.2561177e+02
83             	plate	6.2255928e+03	6.3486092e+03	1.2633046e+03
83             	riser	-5.1146966e+03	-3.7717362e+03	-9.2561405e+02
84             	plate	6.2255299e+03	6.3487360e+03	1.2633129e+03
84             	riser	-5.1146970e+03	-3.7717374e+03	-9.2561626e+02
85             	plate	6.2253657e+03	6.3485767e+03	1.2632029e+03
85             	riser	-5.1151191e+03	-3.7718770e+03	-9.2574409e+02
86             	plate	6.2253032e+03	6.3486665e+03	1.2632110e+03
86             	riser	-5.1151153e+03	-3.7718778e+03	-9.2574619e+02
87             	plate	6.2252412e+03	6.3487377e+03	1.2632192e+03
87             	riser	-5.1151093e+03	-3.7718784e+03	-9.2574822e+02
88             	plate	6.2251798e+03	6.3487903e+03	1.2632272e+03
88             	riser	-5.1151010e+03	-3.7718788e+03	-9.2575021e+02
89             	plate	6.2251193e+03	6.3488245e+03	1.2632353e+03
89             	riser	-5.1150906e+03	-3.7718792e+03	-9.2575213e+02
90             	plate	6.2249681e+03	6.3486363e+03	1.2631588e+03
90             	riser	-5.1154009e+03	-3.7719692e+03	-9.2584707e+02
91             	plate	6.2249100e+03	6.3486332e+03	1.2631668e+03
91             	riser	-5.1154070e+03	-3.7719693e+03	-9.2584889e+02
92             	plate	6.2248535e+03	6.3486114e+03	1.2631747e+03
92             	riser	-5.1154111e+03	-3.7719694e+03	-9.2585066e+02
93             	plate	6.2247988e+03	6.3485708e+03	1.2631826e+03
93             	riser	-5.1154130e+03	-3.7719693e+03	-9.2585239e+02
94             	plate	6.2247463e+03	6.3485857e+03	1.2631905e+03
94             	riser	-5.1154128e+03	-3.7719691e+03	-9.2585407e+02
95             	plate	6.2245190e+03	6.3484743e+03	1.2631451e+03
95             	riser	-5.1156079e+03	-3.7720166e+03	-9.2591677e+02
96             	plate	6.2244715e+03	6.3484799e+03	1.2631529e+03
96             	riser	-5.1156138e+03	-3.7720162e+03	-9.2591838e+02
97             	plate	6.2244269e+03	6.3484673e+03	1.2631608e+03
97             	riser	-5.1156176e+03	-3.7720158e+03	-9.2591995e+02
98             	plate	6.2243854e+03	6.3484363e+03	1.2631686e+03
98             	riser	-5.1156192e+03	-3.7720153e+03	-9.2592150e+02
99             	plate	6.2243473e+03	6.3484020e+03	1.2631765e+03
99             	riser	-5.1156186e+03	-3.7720147e+03	-9.2592305e+02
100            	plate	6.2240162e+03	6.3483729e+03	1.2631609e+03
100            	riser	-5.1156851e+03	-3.7720242e+03	-9.2595290e+02
101            	plate	6.2239855e+03	6.3483868e+03	1.2631687e+03
101            	riser	-5.1156800e+03	-3.7720235e+03	-9.2595442e+02
102            	plate	6.2239587e+03	6.3484831e+03	1.2631765e+03
102            	riser	-5.1156799e+03	-3.7720227e+03	-9.2595594e+02
103            	plate	6.2239359e+03	6.3486528e+03	1.2631844e+03
103            	riser	-5.1156814e+03	-3.7720218e+03	-9.2595744e+02
104            	plate	6.2239173e+03	6.3488050e+03	1.2631921e+03
104            	riser	-5.1156807e+03	-3.7720208e+03	-9.2595895e+02
105            	plate	6.2234605e+03	6.3489319e+03	1.2631956e+03
105            	riser	-5.1156740e+03	-3.7720071e+03	-9.2596657e+02
106            	plate	6.2234503e+03	6.3490489e+03	1.2632033e+03
106            	riser	-5.1156688e+03	-3.7720060e+03	-9.2596807e+02
107            	plate	6.2234441e+03	6.3491485e+03	1.2632110e+03
107            	riser	-5.1156613e+03	-3.7720049e+03	-9.2596957e+02
108            	plate	6.2234421e+03	6.3492308e+03	1.2632188e+03
108            	riser	-5.1156516e+03	-3.7720036e+03	-9.2597107e+02
109            	plate	6.2234440e+03	6.3492957e+03	1.2632264e+03
109            	riser	-5.1156396e+03	-3.7720023e+03	-9.2597258e+02
110            	plate	6.2228669e+03	6.3493740e+03	1.2632394e+03
110            	riser	-5.1155927e+03	-3.7719775e+03	-9.2596734e+02
111            	plate	6.2228765e+03	6.3494045e+03	1.2632470e+03
111            	riser	-5.1155764e+03	-3.7719760e+03	-9.2596887e+02
112            	plate	6.2228897e+03	6.3494180e+03	1.2632546e+03
112            	riser	-5.1155581e+03	-3.7719745e+03	-9.2597041e+02
113            	plate	6.2229063e+03	6.3494145e+03	1.2632621e+03
113            	riser	-5.1155378e+03	-3.7719729e+03	-9.2597195e+02
114            	plate	6.2229262e+03	6.3493941e+03	1.2632697e+03
114            	riser	-5.1155156e+03	-3.7719712e+03	-9.2597352e+02
115            	plate	6.2222571e+03	6.3494121e+03	1.2632862e+03
115            	riser	-5.1154573e+03	-3.7719426e+03	-9.2596139e+02
116            	plate	6.2222830e+03	6.3494516e+03	1.2632937e+03
116            	riser	-5.1154316e+03	-3.7719407e+03	-9.2596298e+02
117            	plate	6.2223117e+03	6.3494747e+03	1.2633011e+03
117            	riser	-5.1154043e+03	-3.7719387e+03	-9.2596459e+02
118            	plate	6.2223429e+03	6.3494814e+03	1.2633084e+03
118            	riser	-5.1153757e+03	-3.7719367e+03	-9.2596621e+02
119            	plate	6.2223765e+03	6.3494719e+03	1.2633157e+03
119            	riser	-5.1153459e+03	-3.7719345e+03	-9.2596785e+02
120            	plate	6.2216594e+03	6.3495158e+03	1.2633324e+03
120            	riser	-5.1152946e+03	-3.7719057e+03	-9.2595249e+02
121            	plate	6.2216975e+03	6.3495325e+03	1.2633397e+03
121            	riser	-5.1152630e+03	-3.7719034e+03	-9.2595416e+02
122            	plate	6.2217376e+03	6.3495658e+03	1.2633469e+03
122            	riser	-5.1152308e+03	-3.7719009e+03	-9.2595585e+02
123            	plate	6.2217796e+03	6.3495837e+03	1.2633540e+03
123            	riser	-5.1152407e+03	-3.7718984e+03	-9.2595756e+02
124            	plate	6.2218234e+03	6.3495862e+03	1.2633611e+03
124            	riser	-5.1153353e+03	-3.7718957e+03	-9.2595929e+02
125            	plate	6.2211147e+03	6.3496511e+03	1.2633764e+03
125            	riser	-5.1154356e+03	-3.7718675e+03	-9.2594279e+02
126            	plate	6.2211620e+03	6.3496427e+03	1.2633834e+03
126            	riser	-5.1155370e+03	-3.7718646e+03	-9.2594455e+02
127            	plate	6.2212109e+03	6.3496863e+03	1.2633904e+03
127            	riser	-5.1156412e+03	-3.7718616e+03	-9.2594633e+02
128            	plate	6.2212615e+03	6.3497155e+03	1.2633973e+03
128            	riser	-5.1157478e+03	-3.7718585e+03	-9.2594813e+02
129            	plate	6.2213136e+03	6.3497302e+03	1.2634041e+03
129            	riser	-5.1158562e+03	-3.7718553e+03	-9.2594995e+02
130            	plate	6.2206838e+03	6.3498156e+03	1.2634193e+03
130            	riser	-5.1159788e+03	-3.7718245e+03	-9.2593155e+02
131            	plate	6.2207391e+03	6.3498023e+03	1.2634260e+03
131            	riser	-5.1160898e+03	-3.7718210e+03	-9.2593340e+02
132            	plate	6.2207960e+03	6.3497822e+03	1.2634327e+03
132            	riser	-5.1162013e+03	-3.7718175e+03	-9.2593527e+02
133            	plate	6.2208546e+03	6.3498213e+03	1.2634393e+03
133            	riser	-5.1163130e+03	-3.7718138e+03	-9.2593715e+02
134            	plate	6.2209148e+03	6.3498469e+03	1.2634459e+03
134            	riser	-5.1164245e+03	-3.7718099e+03	-9.2593904e+02
135            	plate	6.2204324e+03	6.3499602e+03	1.2634615e+03
135            	riser	-5.1165536e+03	-3.7717742e+03	-9.2591893e+02
136            	plate	6.2204961e+03	6.3499595e+03	1.2634679e+03
136            	riser	-5.1166635e+03	-3.7717701e+03	-9.2592086e+02
137            	plate	6.2205615e+03	6.3499460e+03	1.2634744e+03
137            	riser	-5.1167722e+03	-3.7717659e+03	-9.2592280e+02
138            	plate	6.2206289e+03	6.3499747e+03	1.2634807e+03
138            	riser	-5.1168792e+03	-3.7717615e+03	-9.2592475e+02
139            	plate	6.2206981e+03	6.3500090e+03	1.2634870e+03
139            	riser	-5.1169843e+03	-3.7717570e+03	-9.2592672e+02
140            	plate	6.2204257e+03	6.3501286e+03	1.2635028e+03
140            	riser	-5.1171081e+03	-3.7717151e+03	-9.2590616e+02
141            	plate	6.2204989e+03	6.3501381e+03	1.2635090e+03
141            	riser	-5.1172085e+03	-3.7717103e+03	-9.2590815e+02
142            	plate	6.2205742e+03	6.3501357e+03	1.2635151e+03
142            	riser	-5.1173061e+03	-3.7717053e+03	-9.2591015e+02
143            	plate	6.2206517e+03	6.3501213e+03	1.2635211e+03
143            	riser	-5.1174008e+03	-3.7717002e+03	-9.2591216e+02
144            	plate	6.2207313e+03	6.3501421e+03	1.2635271e+03
144            	riser	-5.1174923e+03	-3.7716949e+03	-9.2591418e+02
145            	plate	6.2207306e+03	6.3502632e+03	1.2635441e+03
145            	riser	-5.1175963e+03	-3.7716445e+03	-9.2589288e+02
146            	plate	6.2208148e+03	6.3502810e+03	1.2635500e+03
146            	riser	-5.1176809e+03	-3.7716389e+03	-9.2589491e+02
147            	plate	6.2209012e+03	6.3502876e+03	1.2635558e+03
147            	riser	-5.1177617e+03	-3.7716331e+03	-9.2589695e+02
148            	plate	6.2209900e+03	6.3502831e+03	1.2635615e+03
148            	riser	-5.1178388e+03	-3.7716271e+03	-9.2589900e+02
149            	plate	6.2210811e+03	6.3502677e+03	1.2635671e+03
149            	riser	-5.1179118e+03	-3.7716209e+03	-9.2590106e+02
150            	plate	6.2214080e+03	6.3503649e+03	1.2635875e+03
150            	riser	-5.1179805e+03	-3.7715595e+03	-9.2587767e+02
151            	plate	6.2215040e+03	6.3503899e+03	1.2635930e+03
151            	riser	-5.1180452e+03	-3.7715529e+03	-9.2587973e+02
152            	plate	6.2216023e+03	6.3504043e+03	1.2635985e+03
152            	riser	-5.1181057e+03	-3.7715461e+03	-9.2588180e+02
153            	plate	6.2217030e+03	6.3504083e+03	1.2636038e+03
153            	riser	-5.1181618e+03	-3.7715391e+03	-9.2588387e+02
154            	plate	6.2218061e+03	6.3504021e+03	1.2636091e+03
154            	riser	-5.1182134e+03	-3.7715319e+03	-9.2588595e+02
155            	plate	6.2225063e+03	6.3504682e+03	1.2636353e+03
155            	riser	-5.1182317e+03	-3.7714579e+03	-9.2585849e+02
156            	plate	6.2226141e+03	6.3504421e+03	1.2636404e+03
156            	riser	-5.1182743e+03	-3.7714502e+03	-9.2586057e+02
157            	plate	6.2227240e+03	6.3504063e+03	1.2636455e+03
157            	riser	-5.1183124e+03	-3.7714423e+03	-9.2586265e+02
158            	plate	6.2228362e+03	6.3503610e+03	1.2636504e+03
158            	riser	-5.1183460e+03	-3.7714342e+03	-9.2586473e+02
159            	plate	6.2229505e+03	6.3503063e+03	1.2636552e+03
159            	riser	-5.1183749e+03	-3.7714258e+03	-9.2586681e+02
160            	plate	6.2240469e+03	6.3503237e+03	1.2636895e+03
160            	riser	-5.1183317e+03	-3.7713392e+03	-9.2583367e+02
161            	plate	6.2241652e+03	6.3502509e+03	1.2636941e+03
161            	riser	-5.1183515e+03	-3.7713302e+03	-9.2583575e+02
162            	plate	6.2242852e+03	6.3501692e+03	1.2636986e+03
162            	riser	-5.1183668e+03	-3.7713210e+03	-9.2583782e+02
163            	plate	6.2244069e+03	6.3500788e+03	1.2637031e+03
163            	riser	-5.1183776e+03	-3.7713115e+03	-9.2583989e+02
164            	plate	6.2245303e+03	6.3499800e+03	1.2637074e+03
164            	riser	-5.1183840e+03	-3.7713017e+03	-9.2584196e+02
165            	plate	6.2260220e+03	6.3499764e+03	1.2637509e+03
165            	riser	-5.1182726e+03	-3.7712027e+03	-9.2580201e+02
166            	plate	6.2261480e+03	6.3499678e+03	1.2637551e+03
166            	riser	-5.1182703e+03	-3.7711922e+03	-9.2580407e+02
167            	plate	6.2262752e+03	6.3499506e+03	1.2637591e+03
167            	riser	-5.1182638e+03	-3.7711815e+03	-9.2580613e+02
168            	plate	6.2264033e+03	6.3499508e+03	1.2637631e+03
168            	riser	-5.1182709e+03	-3.7711704e+03	-9.2580818e+02
169            	plate	6.2265322e+03	6.3499659e+03	1.2637669e+03
169            	riser	-5.1182778e+03	-3.7711590e+03	-9.2581022e+02
170            	plate	6.2283927e+03	6.3500767e+03	1.2638203e+03
170            	riser	-5.1181180e+03	-3.7710474e+03	-9.2576294e+02
171            	plate	6.2285226e+03	6.3500751e+03	1.2638239e+03
171            	riser	-5.1181165e+03	-3.7710352e+03	-9.2576497e+02
172            	plate	6.2286528e+03	6.3500654e+03	1.2638275e+03
172            	riser	-5.1181109e+03	-3.7710227e+03	-9.2576700e+02
173            	plate	6.2287830e+03	6.3500477e+03	1.2638309e+03
173            	riser	-5.1181122e+03	-3.7710098e+03	-9.2576901e+02
174            	plate	6.2289130e+03	6.3500461e+03	1.2638342e+03
174            	riser	-5.1181195e+03	-3.7709966e+03	-9.2577101e+02
175            	plate	6.2310902e+03	6.3501684e+03	1.2638972e+03
175            	riser	-5.1179115e+03	-3.7708719e+03	-9.2571658e+02
176            	plate	6.2312192e+03	6.3501729e+03	1.2639003e+03
176            	riser	-5.1179108e+03	-3.7708578e+03	-9.2571857e+02
177            	plate	6.2313474e+03	6.3501695e+03	1.2639033e+03
177            	riser	-5.1179062e+03	-3.7708432e+03	-9.2572054e+02
178            	plate	6.2314747e+03	6.3501586e+03	1.2639062e+03
178            	riser	-5.1179024e+03	-3.7708282e+03	-9.2572250e+02
179            	plate	6.2316007e+03	6.3501402e+03	1.2639090e+03
179            	riser	-5.1179101e+03	-3.7708126e+03	-9.2572445e+02
180            	plate	6.2340205e+03	6.3502304e+03	1.2639805e+03
180            	riser	-5.1176579e+03	-3.7706725e+03	-9.2566363e+02
181            	plate	6.2341435e+03	6.3501973e+03	1.2639831e+03
181            	riser	-5.1176579e+03	-3.7706560e+03	-9.2566554e+02
182            	plate	6.2342645e+03	6.3501571e+03	1.2639856e+03
182            	riser	-5.1176542e+03	-3.7706389e+03	-9.2566745e+02
183            	plate	6.2343836e+03	6.3501098e+03	1.2639879e+03
183            	riser	-5.1176467e+03	-3.7706212e+03	-9.2566934e+02
184            	plate	6.2345003e+03	6.3500556e+03	1.2639902e+03
184            	riser	-5.1176355e+03	-3.7706029e+03	-9.2567120e+02
185            	plate	6.2370731e+03	6.3501187e+03	1.2640692e+03
185            	riser	-5.1173251e+03	-3.7704352e+03	-9.2560459e+02
186            	plate	6.2371849e+03	6.3500509e+03	1.2640712e+03
186            	riser	-5.1173070e+03	-3.7704155e+03	-9.2560641e+02
187            	plate	6.2372938e+03	6.3499764e+03	1.2640732e+03
187            	riser	-5.1172856e+03	-3.7703952e+03	-9.2560822e+02
188            	plate	6.2373997e+03	6.3498954e+03	1.2640750e+03
188            	riser	-5.1172610e+03	-3.7703740e+03	-9.2560999e+02
189            	plate	6.2375026e+03	6.3498078e+03	1.2640767e+03
189            	riser	-5.1172333e+03	-3.7703520e+03	-9.2561175e+02
190            	plate	6.2401299e+03	6.3498497e+03	1.2641620e+03
190            	riser	-5.1168738e+03	-3.7701316e+03	-9.2553983e+02
191            	plate	6.2402260e+03	6.3497494e+03	1.2641635e+03
191            	riser	-5.1168405e+03	-3.7701015e+03	-9.2554152e+02
192            	plate	6.2403185e+03	6.3497534e+03	1.2641649e+03
192            	riser	-5.1168045e+03	-3.7700627e+03	-9.2554318e+02
193            	plate	6.2404074e+03	6.3497585e+03	1.2641662e+03
193            	riser	-5.1167662e+03	-3.7700154e+03	-9.2554479e+02
194            	plate	6.2404924e+03	6.3497572e+03	1.2641674e+03
194            	riser	-5.1167256e+03	-3.7699508e+03	-9.2554636e+02
195            	plate	6.2430774e+03	6.3499213e+03	1.2642573e+03
195            	riser	-5.1163307e+03	-3.7695816e+03	-9.2546991e+02
196            	plate	6.2431545e+03	6.3499072e+03	1.2642583e+03
196            	riser	-5.1163143e+03	-3.7694967e+03	-9.2547136e+02
197            	plate	6.2432275e+03	6.3498886e+03	1.2642593e+03
197            	riser	-5.1163126e+03	-3.7693975e+03	-9.2547274e+02
198            	plate	6.2432964e+03	6.3498982e+03	1.2642601e+03
198            	riser	-5.1163075e+03	-3.7692793e+03	-9.2547404e+02
199            	plate	6.2433611e+03	6.3499016e+03	1.2642608e+03
199            	riser	-5.1163035e+03	-3.7691356e+03	-9.2547522e+02
200            	plate	6.2458181e+03	6.3501001e+03	1.2643561e+03
200            	riser	-5.1158871e+03	-3.7683687e+03	-9.2539135e+02
201            	plate	6.2458742e+03	6.3500913e+03	1.2643567e+03
201            	riser	-5.1158893e+03	-3.7681332e+03	-9.2539220e+02
202            	plate	6.2459259e+03	6.3500766e+03	1.2643572e+03
202            	riser	-5.1158881e+03	-3.7678057e+03	-9.2539277e+02
