3cpio	0.14.0-1ubuntu1
libdrm-common	2.4.131-1
libdrm2	2.4.131-1
libduktape207	2.7.0+tests-0ubuntu4
libdw1t64	0.194-4
libeatmydata1	131-2build1
libedit2	3.1-20251016-1
libefiboot1t64	39-2
libefivar1t64	39-2
libelf1t64	0.194-4
liberror-perl	0.17030-1
libestr0	0.1.11-2build1
libevdev2	1.13.6+dfsg-1
libevent-core-2.1-7t64	2.1.12-stable-10build2
libexpat1	2.7.4-1
libexpat1-dev	2.7.4-1
libext2fs2t64	1.47.2-3ubuntu4
libfakeroot	1.37.2-1
libfastjson4	1.2304.0-2build1
libfdisk1	2.41.3-3ubuntu2
libffi8	3.5.2-4
libfido2-1	1.16.0-2build1
libfile-fcntllock-perl	0.22-4ubuntu6
libfontconfig1	2.17.1-3ubuntu1
libfreetype6	2.14.2+dfsg-1
libfribidi0	1.0.16-5
libfuse3-4	3.18.2-1
libfyaml0	0.9.4-1
libgcc-15-dev	15.2.0-16ubuntu1
libgcc-s1	16-20260322-1ubuntu1
libgcrypt20	1.12.0-2ubuntu1
libgdbm-compat4t64	1.26-1build1
libgdbm6t64	1.26-1build1
libgirepository-2.0-0	2.88.0-1
libgit2-1.9	1.9.1+ds-1ubuntu1
libglib2.0-0t64	2.88.0-1
libglib2.0-bin	2.88.0-1
libglib2.0-data	2.88.0-1
libgmp10	2:6.3.0+dfsg-5ubuntu2
libgnutls30t64	3.8.12-2ubuntu1.1
libgomp1	16-20260322-1ubuntu1
libgpg-error-l10n	1.58-2
libgpg-error0	1.58-2
libgpgme45	2.0.1-2build1
libgpgmepp7	2.0.0-2
libgpm2	1.20.7-12build1
libgprofng0	2.46-3ubuntu2
libgssapi-krb5-2	1.22.1-2ubuntu4
libgstreamer1.0-0	1.28.2-1
libhogweed6t64	3.10.2-1
libhwasan0	16-20260322-1ubuntu1
libibverbs1	61.0-2ubuntu3
libicu78	78.2-2ubuntu1
libidn2-0	2.3.8-4build1
libinih1	61-1ubuntu1
libintl-perl	1.37-1
libintl-xs-perl	1.37-1
libip4tc2	1.8.11-2ubuntu3
libip6tc2	1.8.11-2ubuntu3
libisl23	0.27-1build1
libisns0t64	0.101-2.1
libitm1	16-20260322-1ubuntu1
libjansson4	2.14-2build4
libjbig0	2.1-6.1ubuntu3
libjemalloc2	5.3.0-4
libjpeg-turbo8	2.1.5-4ubuntu4
libjpeg8	8c-2ubuntu12
libjq1	1.8.1-4ubuntu2
libjs-sphinxdoc	8.2.3-12
libjson-c5	0.18+ds-3
libk5crypto3	1.22.1-2ubuntu4
libkeyutils1	1.6.3-6ubuntu3
libklibc	2.0.14-1ubuntu2
libkmod2	34.2-2ubuntu2
libkrb5-3	1.22.1-2ubuntu4
libkrb5support0	1.22.1-2ubuntu4
libksba8	1.6.7-2build1
liblastlog2-2	2.41.3-3ubuntu2
liblcms2-2	2.17-1ubuntu0.2
libldap-common	2.6.10+dfsg-1ubuntu5
libldap2	2.6.10+dfsg-1ubuntu5
liblerc4	4.0.0+ds-5ubuntu2
liblmdb0	0.9.31-1build2
liblocale-gettext-perl	1.07-8
liblsan0	16-20260322-1ubuntu1
liblsof0	4.99.4+dfsg-2build2
liblvm2cmd2.03	2.03.31-2ubuntu3
liblz4-1	1.10.0-8
liblzma5	5.8.3-1
liblzo2-2	2.10-3build2
libmagic-mgc	1:5.46-5build2
libmagic1t64	1:5.46-5build2
libmaxminddb0	1.12.2-1build2
libmd0	1.1.0-2build4
libmnl0	1.0.5-3build1
libmodule-find-perl	0.17-1
libmount1	2.41.3-3ubuntu2
libmpathcmd0	0.14.3-2ubuntu1
libmpathpersist0	0.14.3-2ubuntu1
libmpc3	1.3.1-3
libmpfr6	4.2.2-3
libmspack0t64	0.11-1.1build2
libmultipath0	0.14.3-2ubuntu1
libncurses6	6.6+20251231-1
libncursesw6	6.6+20251231-1
libnetfilter-conntrack3	1.1.1-1
libnetplan1	1.2-1ubuntu5
libnettle8t64	3.10.2-1
libnewt0.52	0.52.25-1ubuntu3
libnfnetlink0	1.0.2-3build1
libnftables1	1.1.6-1
libnftnl11	1.3.1-1
libnghttp2-14	1.68.0-2ubuntu0.2
libnl-3-200	3.12.0-2
libnl-route-3-200	3.12.0-2
libnpth0t64	1.8-3build1
libnspr4	2:4.38.2-1ubuntu1
libnss-systemd	259.5-0ubuntu3
libnss3	2:3.120-1ubuntu2.1
libnuma1	2.0.19-1build1
libonig5	6.9.10-1build1
libopeniscsiusr	2.1.11-3ubuntu3
libopenjp2-7	2.5.4-1ubuntu0.1
libp11-kit0	0.26.2-2
libpackagekit-glib2-18	1.3.4-3ubuntu1.1
libpam-cap	1:2.75-10ubuntu2
libpam-modules	1.7.0-5ubuntu3
libpam-modules-bin	1.7.0-5ubuntu3
libpam-runtime	1.7.0-5ubuntu3
libpam-systemd	259.5-0ubuntu3
libpam0g	1.7.0-5ubuntu3
libparted2t64	3.6-6
libpcap0.8t64	1.10.6-1ubuntu1
libpci3	1:3.14.0-1build2
libpcre2-8-0	10.46-1build1
libperl5.40	5.40.1-7ubuntu0.1
libpipeline1	1.5.8-2
libpixman-1-0	0.46.4-1
libplymouth5	24.004.60+git20250831.4a3c171d-0ubuntu8
libpng16-16t64	1.6.57-1
libpolkit-agent-1-0	127-2ubuntu1
libpolkit-gobject-1-0	127-2ubuntu1
libpoppler156	26.01.0-2ubuntu0.1
libpopt0	1.19+dfsg-2build1
libproc-processtable-perl	0.637-1
libproc2-0	2:4.0.4-9ubuntu1
libpsl5t64	0.21.2-1.1build2
libpython3-dev	3.14.3-0ubuntu2
libpython3-stdlib	3.14.3-0ubuntu2
libpython3.14	3.14.4-1ubuntu0.1
libpython3.14-dev	3.14.4-1ubuntu0.1
libpython3.14-minimal	3.14.4-1ubuntu0.1
libpython3.14-stdlib	3.14.4-1ubuntu0.1
libquadmath0	16-20260322-1ubuntu1
libreadline8t64	8.3-4
librtmp1	2.4+20151223.gitfa8646d.1-3
libsasl2-2	2.1.28+dfsg1-9ubuntu3
libsasl2-modules	2.1.28+dfsg1-9ubuntu3
libsasl2-modules-db	2.1.28+dfsg1-9ubuntu3
libseccomp2	2.6.0-2ubuntu5
libselinux1	3.9-4build1
libsemanage-common	3.9-1build1
libsemanage2	3.9-1build1
libsensors-config	1:3.6.2-2build1
libsensors5	1:3.6.2-2build1
libsepol2	3.9-2
libsframe3	2.46-3ubuntu2
libsgutils2-1.48	1.48-3ubuntu3.1
libsharpyuv0	1.5.0-0.1build1
libslang2	2.3.3-5build1
libsmartcols1	2.41.3-3ubuntu2
libsodium23	1.0.18-2
libsort-naturally-perl	1.03-4
libsqlite3-0	3.46.1-9ubuntu0.1
libss2	1.47.2-3ubuntu4
libssh2-1t64	1.11.1-1ubuntu0.26.04.2
libssl3t64	3.5.5-1ubuntu3.2
libstdc++-15-dev	15.2.0-16ubuntu1
libstdc++6	16-20260322-1ubuntu1
libstemmer0d	3.0.1-1
libsystemd-shared	259.5-0ubuntu3
libsystemd0	259.5-0ubuntu3
libtasn1-6	4.21.0-2
libterm-readkey-perl	2.38-2build5
libtext-charwidth-perl	0.04-11build4
libtext-iconv-perl	1.7-8.1
libtext-wrapi18n-perl	0.06-10
libtiff6	4.7.0-3ubuntu4
libtinfo6	6.6+20251231-1
libtirpc-common	1.3.7-0.1
libtirpc3t64	1.3.7-0.1
libtraceevent1	1:1.8.7-1
libtraceevent1-plugin	1:1.8.7-1
libtracefs1	1.8.2-1ubuntu1
libtsan2	16-20260322-1ubuntu1
libtss2-esys-3.0.2-0t64	4.1.3-6
libtss2-mu-4.0.1-0t64	4.1.3-6
libtss2-sys1t64	4.1.3-6
libtss2-tcti-cmd0t64	4.1.3-6
libtss2-tcti-device0t64	4.1.3-6
libtss2-tcti-mssim0t64	4.1.3-6
libtss2-tcti-swtpm0t64	4.1.3-6
libubsan1	16-20260322-1ubuntu1
libuchardet0	0.0.8-2
libudev1	259.5-0ubuntu3
libunistring5	1.3-2build1
libunwind8	1.8.3-0ubuntu1
liburcu8t64	0.15.6-1
liburing2	2.14-1
libusb-1.0-0	2:1.0.29-2build1
libuuid1	2.41.3-3ubuntu2
libuv1t64	1.51.0-2ubuntu1
libwebp7	1.5.0-0.1build1
libwrap0	7.6.q-36build2
libx11-6	2:1.8.13-1
libx11-data	2:1.8.13-1
libxau6	1:1.0.11-1build2
libxcb-render0	1.17.0-2ubuntu1
libxcb-shm0	1.17.0-2ubuntu1
libxcb1	1.17.0-2ubuntu1
libxdmcp6	1:1.1.5-2
libxext6	2:1.3.4-1build3
libxkbcommon0	1.13.1-1
libxml2-16	2.15.2+dfsg-0.1ubuntu0.1
libxmlb2	0.3.24-2
libxmlsec1-1	1.3.9-1
libxmlsec1-openssl1	1.3.9-1
libxrender1	1:0.9.12-1build1
libxslt1.1	1.1.45-0.1
libxtables12	1.8.11-2ubuntu3
libxxhash0	0.8.3-2build1
libyaml-0-2	0.2.5-2build3
libzstd1	1.5.7+dfsg-3
linux-base	4.15ubuntu5
linux-image-7.0.0-15-generic	7.0.0-15.15
linux-image-7.0.0-27-generic	7.0.0-27.27
linux-image-virtual	7.0.0-27.27
linux-libc-dev	7.0.0-27.27
linux-main-modules-zfs-7.0.0-15-generic	7.0.0-15.15+1
linux-main-modules-zfs-7.0.0-27-generic	7.0.0-27.27
linux-modules-7.0.0-15-generic	7.0.0-15.15
linux-modules-7.0.0-27-generic	7.0.0-27.27
linux-sysctl-defaults	4.15ubuntu5
locales	2.43-2ubuntu2
login	1:4.16.0-2+really2.41.3-3ubuntu2
login.defs	1:4.17.4-2ubuntu3
logrotate	3.22.0-1build1
logsave	1.47.2-3ubuntu4
lsb-base	11.6build1
lsb-release	12.1-2build1
lshw	02.19.git.2021.06.19.996aaad9c7-2.1ubuntu3
lsof	4.99.4+dfsg-2build2
lto-disabled-list	79
lvm2	2.03.31-2ubuntu3
lxd-agent-loader	0.13ubuntu0
lxd-installer	14ubuntu0
make	4.4.1-3
man-db	2.13.1-1build1
manpages	6.17-1
manpages-dev	6.17-1
mawk	1.3.4.20260129-1
mdadm	4.5-5ubuntu1
media-types	14.0.0build1
mokutil	0.7.2-2
motd-news-config	14ubuntu6.1
mount	2.41.3-3ubuntu2
mtr-tiny	0.95-1.1ubuntu2
multipath-tools	0.14.3-2ubuntu1
nano	8.7.1-1ubuntu0.1
ncurses-base	6.6+20251231-1
ncurses-bin	6.6+20251231-1
ncurses-term	6.6+20251231-1
needrestart	3.11-1ubuntu2
net-tools	2.10-2ubuntu1
netbase	6.5build1
netcat-openbsd	1.234-1
netplan-generator	1.2-1ubuntu5
netplan.io	1.2-1ubuntu5
networkd-dispatcher	2.2.4-1.1ubuntu1
nftables	1.1.6-1
nodejs	20.20.2-1nodesource1
numactl	2.0.19-1build1
open-iscsi	2.1.11-3ubuntu3
open-vm-tools	2:13.0.10-1ubuntu1
openssh-client	1:10.2p1-2ubuntu3.2
openssh-server	1:10.2p1-2ubuntu3.2
openssh-sftp-server	1:10.2p1-2ubuntu3.2
openssl	3.5.5-1ubuntu3.2
openssl-provider-legacy	3.5.5-1ubuntu3.2
overlayroot	0.58ubuntu
packagekit	1.3.4-3ubuntu1.1
parted	3.6-6
passwd	1:4.17.4-2ubuntu3
patch	2.8-2build1
pci.ids	0.0~2026.02.12-1
pciutils	1:3.14.0-1build2
perl	5.40.1-7ubuntu0.1
perl-base	5.40.1-7ubuntu0.1
perl-modules-5.40	5.40.1-7ubuntu0.1
pigz	2.8-1build1
pinentry-curses	1.3.2-3ubuntu1
plymouth	24.004.60+git20250831.4a3c171d-0ubuntu8
plymouth-theme-ubuntu-text	24.004.60+git20250831.4a3c171d-0ubuntu8
polkitd	127-2ubuntu1
pollinate	4.33-4ubuntu6
poppler-data	0.4.12-1build1
poppler-utils	26.01.0-2ubuntu0.1
powermgmt-base	1.38ubuntu2
procps	2:4.0.4-9ubuntu1
psmisc	23.7-2ubuntu2
publicsuffix	20260129.1928-1
python-apt-common	3.1.0ubuntu1
python-babel-localedata	2.17.0-2
python3	3.14.3-0ubuntu2
python3-apport	2.34.0-0ubuntu2
python3-apt	3.1.0ubuntu1
python3-attr	25.4.0-1build1
python3-autocommand	2.2.2-4
python3-automat	25.4.16-1build1
python3-babel	2.17.0-2
python3-bcrypt	5.0.0-3build1
python3-blinker	1.9.0-2build1
python3-boto3	1.40.72-1build1
python3-botocore	1.40.72+repack-1build1
python3-certifi	2026.1.4+ds-1
python3-cffi-backend	2.0.0-3build1
python3-chardet	5.2.0+dfsg-2build1
python3-click	8.2.0+0.really.8.1.8-1build1
python3-commandnotfound	23.04.0build1
python3-configobj	5.0.9-1build1
python3-constantly	23.10.4-2build1
python3-cryptography	46.0.5-1ubuntu2
python3-dateutil	2.9.0-4build1
python3-dbus	1.4.0-1build2
python3-debconf	1.5.92
python3-debian	1.0.1ubuntu2
python3-dev	3.14.3-0ubuntu2
python3-distro	1.9.0-1build1
python3-distro-info	1.15
python3-distupgrade	1:26.04.22
python3-gdbm	3.14.3-0ubuntu2
python3-gi	3.56.2-1
python3-hamcrest	2.1.0-3
python3-httplib2	0.22.0-1build1
python3-hyperlink	21.0.0-6build1
python3-idna	3.11-1
python3-incremental	24.7.2-4
python3-inflect	7.5.0-1build1
python3-jaraco.context	6.0.1-2
python3-jaraco.functools	4.1.0-1build1
python3-jaraco.text	4.0.0-1build1
python3-jinja2	3.1.6-1build1
python3-jmespath	1.0.1-1build1
python3-json-pointer	2.4-4
python3-jsonpatch	1.32-6
python3-jsonschema	4.19.2-6ubuntu2
python3-jsonschema-specifications	2023.12.1-4
python3-jwt	2.10.1-4ubuntu1
python3-launchpadlib	2.1.0-1build1
python3-lazr.restfulclient	0.14.6-3build1
python3-lazr.uri	1.0.6-7build1
python3-linkify-it	2.0.3-1ubuntu3
python3-magic	2:0.4.27-3build1
python3-markdown-it	3.0.0-3build1
python3-markupsafe	3.0.3-1build1
python3-mdurl	0.1.2-1build1
python3-minimal	3.14.3-0ubuntu2
python3-more-itertools	10.8.0-1build1
python3-netifaces	0.11.0-2build7
python3-netplan	1.2-1ubuntu5
python3-oauthlib	3.3.1-1build1
python3-openssl	25.3.0-1ubuntu1
python3-packaging	26.0-1
python3-passlib	1.9.3-1ubuntu1
python3-pexpect	4.9-4
python3-pip	25.1.1+dfsg-1ubuntu2
python3-pkg-resources	78.1.1-0.1build1
python3-problem-report	2.34.0-0ubuntu2
python3-ptyprocess	0.7.0-6build1
python3-pyasn1	0.6.3-1
python3-pyasn1-modules	0.4.1-2build1
python3-pygments	2.19.2+dfsg-1
python3-pyparsing	3.3.2-2
python3-referencing	0.36.2-1ubuntu2
python3-requests	2.32.5+dfsg-1ubuntu1
python3-rich	13.9.4-1.2
python3-rpds-py	0.27.1-2ubuntu3
python3-s3transfer	0.14.0-1build1
python3-serial	3.5-2build1
python3-service-identity	24.2.0-1build1
python3-setuptools	78.1.1-0.1build1
python3-six	1.17.0-2build1
python3-software-properties	0.120
python3-systemd	235-1build9
python3-twisted	25.5.0-5ubuntu0.1
python3-typeguard	4.4.4-2
python3-typing-extensions	4.15.0-2
python3-uc-micro	1.0.3-1build1
python3-update-manager	1:26.04.5
python3-urllib3	2.6.3-1ubuntu1.1
python3-wadllib	2.0.0-3
python3-wheel	0.46.3-2
python3-xkit	0.5.0ubuntu8
python3-yaml	6.0.3-1build1
python3-zipp	3.23.0-1build1
python3-zope.interface	8.2-1build1
python3.14	3.14.4-1ubuntu0.1
python3.14-dev	3.14.4-1ubuntu0.1
python3.14-gdbm	3.14.4-1ubuntu0.1
python3.14-minimal	3.14.4-1ubuntu0.1
qemu-guest-agent	1:10.2.1+ds-1ubuntu3.1
readline-common	8.3-4
rpcsvc-proto	1.4.3-1build1
rsync	3.4.1+ds1-7ubuntu0.3
rsyslog	8.2512.0-1ubuntu4
rust-coreutils	0.8.0-0ubuntu3
sbsigntool	0.9.4-3.1ubuntu9
screen	4.9.1-3ubuntu2
secureboot-db	1.9build2
sed	4.9-2ubuntu1
sensible-utils	0.0.26build1
sg3-utils	1.48-3ubuntu3.1
sg3-utils-udev	1.48-3ubuntu3.1
sgml-base	1.31+nmu1build1
shared-mime-info	2.4-5build3
shim-signed	1.59+15.8-0ubuntu2
snapd	2.75.2+ubuntu26.04.2
software-properties-common	0.120
sos	4.10.2-1
squashfs-tools	1:4.7.5-1
ssh-import-id	5.11-0ubuntu4
strace	6.19+ds-0ubuntu5
sudo	1.9.17p2-1ubuntu3
sudo-common	1.2ubuntu
sudo-rs	0.2.13-0ubuntu1
sysstat	12.7.7-0ubuntu2
systemd	259.5-0ubuntu3
systemd-cryptsetup	259.5-0ubuntu3
systemd-hwe-hwdb	259.5.3ubuntu
systemd-resolved	259.5-0ubuntu3
systemd-sysv	259.5-0ubuntu3
sysvinit-utils	3.15-5ubuntu1
tar	1.35+dfsg-4ubuntu0.2
tcpdump	4.99.6-1
thin-provisioning-tools	1.1.0-4ubuntu2
time	1.9-0.4
tmux	3.6a-2ubuntu0.1
tpm-udev	4.1.3-6
trace-cmd	3.3.3-1ubuntu2
tzdata	2026a-3ubuntu1
ubuntu-drivers-common	1:0.10.9
ubuntu-helper-virt-hwe	1:10.2.1+ds-1ubuntu4.2
ubuntu-keyring	2023.11.28.1build1
ubuntu-pro-client	37.2ubuntu
ubuntu-pro-client-l10n	37.2ubuntu
ubuntu-release-upgrader-core	1:26.04.22
ubuntu-virt	1:10.2.1+ds-1ubuntu3.1
ucf	3.0052ubuntu1
udev	259.5-0ubuntu3
ufw	0.36.2-9build1
unattended-upgrades	2.12ubuntu9
unminimize	0.5build1
unzip	6.0-29ubuntu1
update-manager-core	1:26.04.5
update-notifier-common	3.207.1
usb.ids	2025.12.13-1
usbutils	1:019-1
util-linux	2.41.3-3ubuntu2
util-linux-extra	2.41.3-3ubuntu2
uuid-runtime	2.41.3-3ubuntu2
vim	2:9.1.2141-1ubuntu4.6
vim-common	2:9.1.2141-1ubuntu4.6
vim-runtime	2:9.1.2141-1ubuntu4.6
vim-tiny	2:9.1.2141-1ubuntu4.6
wget	1.25.0-2ubuntu4
whiptail	0.52.25-1ubuntu3
wireless-regdb	2026.02.04-0ubuntu1
xdg-user-dirs	0.19-1
xfsprogs	6.18.0-3
xkb-data	2.46-2
xml-core	0.19build1
xxd	2:9.1.2141-1ubuntu4.6
xz-utils	5.8.3-1
zerofree	1.1.1-1build6
zlib1g	1:1.3.dfsg+really1.3.1-1ubuntu3
zlib1g-dev	1:1.3.dfsg+really1.3.1-1ubuntu3
zsh	5.9-8ubuntu3
zsh-common	5.9-8ubuntu3
zstd	1.5.7+dfsg-3
