t_h, Q_in_kW, Q_removed_kW, T_plate_C
1.375000000000000000e+01,2.805652027902195300e+01,2.750598697631314238e+01,2.558557581708519137e+02
1.400000000000000000e+01,2.812454711670060803e+01,2.756331596290540631e+01,2.561269847767006809e+02
1.425000000000000000e+01,2.819368695975161998e+01,2.762183709748434879e+01,2.564034818027506617e+02
1.450000000000000000e+01,2.826393388436175869e+01,2.768154669159116921e+01,2.566852102584766158e+02
1.475000000000000000e+01,2.833528187186444924e+01,2.774244086952948507e+01,2.569721300520799332e+02
1.500000000000000000e+01,2.840772480925546617e+01,2.780451558001579215e+01,2.572642000360030465e+02
1.525000000000000000e+01,2.848125648971667800e+01,2.786776659133121115e+01,2.575613780469577705e+02
1.550000000000000000e+01,2.855587061314783881e+01,2.793218950526591726e+01,2.578636209486003850e+02
1.575000000000000000e+01,2.863156078670637683e+01,2.799777975783324635e+01,2.581708846675988980e+02
1.600000000000000000e+01,2.870832052535511991e+01,2.806453262110965596e+01,2.584831242296141340e+02
1.625000000000000000e+01,2.878614325241793281e+01,2.813244321532898340e+01,2.588002937946447446e+02
1.650000000000000000e+01,2.886502230014318826e+01,2.820150649682809885e+01,2.591223466866868534e+02
1.675000000000000000e+01,2.894495091027506106e+01,2.827171844424226421e+01,2.594492354296106669e+02
1.700000000000000000e+01,2.902592223463256360e+01,2.834307110922853568e+01,2.597809111989253097e+02
1.725000000000000000e+01,2.910792933569628360e+01,2.841556049545630813e+01,2.601173257121474762e+02
1.750000000000000000e+01,2.919096518720279221e+01,2.848918096442775294e+01,2.604584292377830366e+02
1.775000000000000000e+01,2.927502267474663000e+01,2.856392782564351052e+01,2.608041713606390886e+02
1.800000000000000000e+01,2.936009459638988872e+01,2.863979234432697041e+01,2.611545004713574372e+02
1.825000000000000000e+01,2.944617366327921815e+01,2.871676962514107245e+01,2.615093657157504481e+02
1.850000000000000000e+01,2.953325250027038251e+01,2.879485578097256138e+01,2.618687150604371254e+02
1.875000000000000000e+01,2.962132364656009642e+01,2.887404319586622492e+01,2.622324947536175728e+02
1.900000000000000000e+01,2.971037955632530370e+01,2.895432435987180497e+01,2.626006511199292959e+02
1.925000000000000000e+01,2.980041259936966469e+01,2.903569340691064937e+01,2.629731304663366132e+02
1.950000000000000000e+01,2.989141506177731245e+01,2.911814363338467260e+01,2.633498782306908197e+02
1.975000000000000000e+01,2.998337914657377468e+01,2.920166952152919038e+01,2.637308393530985313e+02
2.000000000000000000e+01,3.007629697439400118e+01,2.928626161196764954e+01,2.641159576507872657e+02
2.025000000000000000e+01,3.017016058415745405e+01,2.937191403303175719e+01,2.645051777193954763e+02
2.050000000000000000e+01,3.026496193375021804e+01,2.945861958681874881e+01,2.648984431251884644e+02
2.075000000000000000e+01,3.036069290071403159e+01,2.954637095440186556e+01,2.652956970185211389e+02
2.100000000000000000e+01,3.045734528294219601e+01,2.963516069516046159e+01,2.656968821538793577e+02
2.125000000000000000e+01,3.055491079938234122e+01,2.972498125144496228e+01,2.661019409105940099e+02
2.150000000000000000e+01,3.065338109074592410e+01,2.981582494852769827e+01,2.665108153116032099e+02
2.175000000000000000e+01,3.075274772022444125e+01,2.990768398487562152e+01,2.669234470425882932e+02
2.200000000000000000e+01,3.085300217421229618e+01,3.000055031981749565e+01,2.673397774762547101e+02
2.225000000000000000e+01,3.095413586303621400e+01,3.009441767391268385e+01,2.677597477523113980e+02
2.250000000000000000e+01,3.105614012169121807e+01,3.018927478739096060e+01,2.681832978723043652e+02
2.275000000000000000e+01,3.115900621058300501e+01,3.028511493546240985e+01,2.686103691161208076e+02
2.300000000000000000e+01,3.126272531627677864e+01,3.038192975802190787e+01,2.690409017710312582e+02
2.325000000000000000e+01,3.136728855225233659e+01,3.047971078546679280e+01,2.694748359009680030e+02
2.350000000000000000e+01,3.147268695966549501e+01,3.057844943991216624e+01,2.699121113644642378e+02
2.375000000000000000e+01,3.157891150811563818e+01,3.067813703641548173e+01,2.703526678323689794e+02
2.400000000000000000e+01,3.168595309641943913e+01,3.077876478421207196e+01,2.707964448053375008e+02
2.425000000000000000e+01,3.179380255339065542e+01,3.088032378769026209e+01,2.712433816310935981e+02
2.450000000000000000e+01,3.190245063862588637e+01,3.098280504876018782e+01,2.716934175215961318e+02
2.475000000000000000e+01,3.201188804329628113e+01,3.108619946642092557e+01,2.721464915694253932e+02
2.500000000000000000e+01,3.212210539094510864e+01,3.119049783920833008e+01,2.726025427647728065e+02
2.525000000000000000e+01,3.223309323829112572e+01,3.129569086619299156e+01,2.730615100116176563e+02
2.550000000000000000e+01,3.234484207603766492e+01,3.140176914829011068e+01,2.735233321438080338e+02
2.575000000000000000e+01,3.245734232968736421e+01,3.150872318915617498e+01,2.739879479408947986e+02
2.600000000000000000e+01,3.257058436036253113e+01,3.161654339826583637e+01,2.744552961439254091e+02
2.625000000000000000e+01,3.268455846563093559e+01,3.172491958006660440e+01,2.749253154701260655e+02
2.650000000000000000e+01,3.279925488033715908e+01,3.183448135632347942e+01,2.753980926781377434e+02
2.675000000000000000e+01,3.291466377743922322e+01,3.194487575438375515e+01,2.758733995252321733e+02
2.700000000000000000e+01,3.303077526885057580e+01,3.205609326686744964e+01,2.763511768233391876e+02
2.725000000000000000e+01,3.314757940628728505e+01,3.216812425295705680e+01,2.768313651968291538e+02
2.750000000000000000e+01,3.326506618212038546e+01,3.228095893374696601e+01,2.773139051185954713e+02
2.775000000000000000e+01,3.338322553023333228e+01,3.239458869586818679e+01,2.777987369488484433e+02
2.800000000000000000e+01,3.350204732688445119e+01,3.250900087537248595e+01,2.782858003320853868e+02
2.825000000000000000e+01,3.362152139157432629e+01,3.262418672608852432e+01,2.787750361642658277e+02
2.850000000000000000e+01,3.374163748791804807e+01,3.274013600742772923e+01,2.792663846347109029e+02
2.875000000000000000e+01,3.386238532452225058e+01,3.285683837404375396e+01,2.797597859348128395e+02
2.900000000000000000e+01,3.398375455586688076e+01,3.297428337991250658e+01,2.802551802825443019e+02
2.925000000000000000e+01,3.410573478319157914e+01,3.309246048214692593e+01,2.807525079453925514e+02
2.950000000000000000e+01,3.422831555538662940e+01,3.321135904457418064e+01,2.812517092618504648e+02
2.975000000000000000e+01,3.435148636988840565e+01,3.333096834109957740e+01,2.817527246615844092e+02
3.000000000000000000e+01,3.447523667357920374e+01,3.345127755887950372e+01,2.822554946843858943e+02
3.025000000000000000e+01,3.459955586369142111e+01,3.357227580132294520e+01,2.827599599980035237e+02
3.050000000000000000e+01,3.472443328871602120e+01,3.369395209093882926e+01,2.832660614149412481e+02
3.075000000000000000e+01,3.484985824931509057e+01,3.381629537204578639e+01,2.837737399083019341e+02
3.100000000000000000e+01,3.497581999923858120e+01,3.393929451335749548e+01,2.842829366267451974e+02
3.125000000000000000e+01,3.510230774624501038e+01,3.406293831045717013e+01,2.847935929086232250e+02
3.150000000000000000e+01,3.522931065302616105e+01,3.418721548817168809e+01,2.853056502953510289e+02
3.175000000000000000e+01,3.535681783813555512e+01,3.431211470285596477e+01,2.858190505440629750e+02
3.200000000000000000e+01,3.548481837692082053e+01,3.443762454459625388e+01,2.863337356396008886e+02
3.225000000000000000e+01,3.561330130245966075e+01,3.456373353934066017e+01,2.868496478058761454e+02
3.250000000000000000e+01,3.574225560649951206e+01,3.469012995419996059e+01,2.873667295166434883e+02
3.275000000000000000e+01,3.587167024040068952e+01,3.481744620520800737e+01,2.878850714011317677e+02
3.300000000000000000e+01,3.600153411608302179e+01,3.494532172922421154e+01,2.884044470782482108e+02
3.325000000000000000e+01,3.613183610697591774e+01,3.507374539784028400e+01,2.889248023398347982e+02
3.350000000000000000e+01,3.626256504897160937e+01,3.520270596292571952e+01,2.894460829786389127e+02
3.375000000000000000e+01,3.639370974138169856e+01,3.533219206564947257e+01,2.899682348288027924e+02
3.400000000000000000e+01,3.652525894789684457e+01,3.546219224468573117e+01,2.904912038023793457e+02
3.425000000000000000e+01,3.665720139754944285e+01,3.559269494369124942e+01,2.910149359222785961e+02
3.450000000000000000e+01,3.678952578567931653e+01,3.572368851812981205e+01,2.915393773520040668e+02
3.475000000000000000e+01,3.692222077490230703e+01,3.585516124151298811e+01,2.920644744225031673e+02
3.500000000000000000e+01,3.705527499608160724e+01,3.598710131111889154e+01,2.925901736564201201e+02
3.525000000000000000e+01,3.718867704930188722e+01,3.611949685324354675e+01,2.931164217900097242e+02
3.550000000000000000e+01,3.732241550484602044e+01,3.625233592785816228e+01,2.936431657929443304e+02
3.575000000000000000e+01,3.745647890417433956e+01,3.638560653379565935e+01,2.941703528863072279e+02
3.600000000000000000e+01,3.759085576090642178e+01,3.651898913539650948e+01,2.946979305585133488e+02
3.625000000000000000e+01,3.772553456180521891e+01,3.665313698609156035e+01,2.952259980620216879e+02
3.650000000000000000e+01,3.786050376776348969e+01,3.678767391785876129e+01,2.957543271442954733e+02
3.675000000000000000e+01,3.799575181479245600e+01,3.692258844451524880e+01,2.962828691914544947e+02
3.700000000000000000e+01,3.813126711501259791e+01,3.705786895197971376e+01,2.968115755512866372e+02
3.725000000000000000e+01,3.826703805764648081e+01,3.719350371077966599e+01,2.973403975844883576e+02
3.750000000000000000e+01,3.840305301001356497e+01,3.732948088731399849e+01,2.978692867102326431e+02
3.775000000000000000e+01,3.853930031852684124e+01,3.746578855400712627e+01,2.983981944466783602e+02
3.800000000000000000e+01,3.867576830969136381e+01,3.760241469847431972e+01,2.989270724469678839e+02
3.825000000000000000e+01,3.881244529110434627e+01,3.773934723137235636e+01,2.994558725312016918e+02
3.850000000000000000e+01,3.894931955245700550e+01,3.787628036218475813e+01,2.999845467150375384e+02
3.875000000000000000e+01,3.908637936653785516e+01,3.801384586200990157e+01,3.005131918961524207e+02
3.900000000000000000e+01,3.922361299023749126e+01,3.815167401110041823e+01,3.010415879453303774e+02
3.925000000000000000e+01,3.936100866555472777e+01,3.828975334520118423e+01,3.015696910946908815e+02
3.950000000000000000e+01,3.949855462060400413e+01,3.842807224699528490e+01,3.020974574316360304e+02
3.975000000000000000e+01,3.963623907062397222e+01,3.856630826810546608e+01,3.026248429674179192e+02
4.000000000000000000e+01,3.977405021898722026e+01,3.870514271418979035e+01,3.031519567653159015e+02
4.025000000000000000e+01,3.991197625821099848e+01,3.884417075355827365e+01,3.036785664237435185e+02
4.050000000000000000e+01,4.005000537096882596e+01,3.898338291393145738e+01,3.042046331690405054e+02
4.075000000000000000e+01,4.018812573110304243e+01,3.912246982987768007e+01,3.047301170722320194e+02
4.100000000000000000e+01,4.032632550463800669e+01,3.926210306727642063e+01,3.052551247905116156e+02
4.125000000000000000e+01,4.046459285079406243e+01,3.940187523143048054e+01,3.057794262962215726e+02
4.150000000000000000e+01,4.060291592300199426e+01,3.954153168128379292e+01,3.063029864359215253e+02
4.175000000000000000e+01,4.074128286991805936e+01,3.968139121899318411e+01,3.068258896716861273e+02
4.200000000000000000e+01,4.087968183643938858e+01,3.982152906778963342e+01,3.073480575653146616e+02
4.225000000000000000e+01,4.101810096471971434e+01,3.996148799958754694e+01,3.078693687784569875e+02
4.250000000000000000e+01,4.115652839518532602e+01,4.010316335991615233e+01,3.083899213895679736e+02
4.275000000000000000e+01,4.129495226755120996e+01,4.024329503346586989e+01,3.089088738704263051e+02
4.300000000000000000e+01,4.143336072183718244e+01,4.038354716758659890e+01,3.094269849832578529e+02
4.325000000000000000e+01,4.157174189938408659e+01,4.052407818458668487e+01,3.099441877858720318e+02
4.350000000000000000e+01,4.171008394386977614e+01,4.066428756211539053e+01,3.104603314451879896e+02
4.375000000000000000e+01,4.184837500232499252e+01,4.080484593304068142e+01,3.109755551412596901e+02
4.400000000000000000e+01,4.198660322614890106e+01,4.094509694128355903e+01,3.114896618195912765e+02
4.425000000000000000e+01,4.212475677212424330e+01,4.108566717665942036e+01,3.120027719497583121e+02
4.450000000000000000e+01,4.226282380343205602e+01,4.122622814804616809e+01,3.125146914699109288e+02
4.475000000000000000e+01,4.240079249066586442e+01,4.136676756372129660e+01,3.130253823216079354e+02
4.500000000000000000e+01,4.253865101284517891e+01,4.150694653528370281e+01,3.135348066741735238e+02
4.525000000000000000e+01,4.267638755842830278e+01,4.164741992871214649e+01,3.140430878304835574e+02
4.550000000000000000e+01,4.281399032632433688e+01,4.178783301178426512e+01,3.145500206470143780e+02
4.575000000000000000e+01,4.295144752690430323e+01,4.192817362522683311e+01,3.150555689292348802e+02
4.600000000000000000e+01,4.308874738301122420e+01,4.206842957155878082e+01,3.155596966647234467e+02
4.625000000000000000e+01,4.322587813096920684e+01,4.220858862301314218e+01,3.160623680481359656e+02
4.650000000000000000e+01,4.336282802159132643e+01,4.234831464818833524e+01,3.165635475027682446e+02
4.675000000000000000e+01,4.349958532118628796e+01,4.248826860319493903e+01,3.170633592625698611e+02
4.700000000000000000e+01,4.363613831256371611e+01,4.262808555786895681e+01,3.175615961530709797e+02
4.725000000000000000e+01,4.377247529603814513e+01,4.276775366411063573e+01,3.180582250142626890e+02
4.750000000000000000e+01,4.390858459043137429e+01,4.290726101562211170e+01,3.185532127592541656e+02
4.775000000000000000e+01,4.404445453407331001e+01,4.304659565930055010e+01,3.190465264120624624e+02
4.800000000000000000e+01,4.418007348580111682e+01,4.318574560533481588e+01,3.195381331402822411e+02
4.825000000000000000e+01,4.431542982595664171e+01,4.332469883616403195e+01,3.200280002832738546e+02
4.850000000000000000e+01,4.445051195738194139e+01,4.346344331443689413e+01,3.205160953764290070e+02
4.875000000000000000e+01,4.458530830641294074e+01,4.360196699009502908e+01,3.210023861720057425e+02
4.900000000000000000e+01,4.471980732387100232e+01,4.373993006909739734e+01,3.214868406569632953e+02
4.925000000000000000e+01,4.485399748605252057e+01,4.387801016307891899e+01,3.219695885318929527e+02
4.950000000000000000e+01,4.498786729571617826e+01,4.401582867338400717e+01,3.224504199868823093e+02
4.975000000000000000e+01,4.512140528306808562e+01,4.415337417980395429e+01,3.229293060687812158e+02
5.000000000000000000e+01,4.525460000674442540e+01,4.429063519201079657e+01,3.234062178000107792e+02
5.025000000000000000e+01,4.538744005479179577e+01,4.442760016410615975e+01,3.238811262271148621e+02
5.050000000000000000e+01,4.551991404564495269e+01,4.456425750742329939e+01,3.243540024626269087e+02
5.075000000000000000e+01,4.565201062910195873e+01,4.470059560180250458e+01,3.248248177211112306e+02
5.100000000000000000e+01,4.578371848729663895e+01,4.483660280553223032e+01,3.252935433501299940e+02
5.125000000000000000e+01,4.591502633566833680e+01,4.497226746412468401e+01,3.257601508567915971e+02
5.150000000000000000e+01,4.604592292392869268e+01,4.510757791807326100e+01,3.262246119304532499e+02
5.175000000000000000e+01,4.617639703702561604e+01,4.524252250972136835e+01,3.266868984620783181e+02
5.200000000000000000e+01,4.630643749610412385e+01,4.537708958935567694e+01,3.271469825606843074e+02
5.225000000000000000e+01,4.643603315946415933e+01,4.551126752062229031e+01,3.276048365672626801e+02
5.250000000000000000e+01,4.656517292351520609e+01,4.564504468535251647e+01,3.280604330665017869e+02
5.275000000000000000e+01,4.669384572372760545e+01,4.577840948787340380e+01,3.285137448966028160e+02
5.300000000000000000e+01,4.682204053558055534e+01,4.591102227017577064e+01,3.289647451574409160e+02
5.325000000000000000e+01,4.694974637550670593e+01,4.604356818118446171e+01,3.294135688539842590e+02
5.350000000000000000e+01,4.707695230183318813e+01,4.617566141402636504e+01,3.298600080334687732e+02
5.375000000000000000e+01,4.720364741571906819e+01,4.630729129720572246e+01,3.303040394248114922e+02
5.400000000000000000e+01,4.732982086208920691e+01,4.643844708705599800e+01,3.307456396449252907e+02
5.425000000000000000e+01,4.745546183056423217e+01,4.656911798514840228e+01,3.311847852558362320e+02
5.450000000000000000e+01,4.758055955638683088e+01,4.669929315348202437e+01,3.316214528136828790e+02
5.475000000000000000e+01,4.770510332134399079e+01,4.682896172774769639e+01,3.320556189106880538e+02
5.500000000000000000e+01,4.782908245468537700e+01,4.695811282891943250e+01,3.324872602110505113e+02
5.525000000000000000e+01,4.795248633403758021e+01,4.708673557339498927e+01,3.329163534815784828e+02
5.550000000000000000e+01,4.807530438631418690e+01,4.721481908187700327e+01,3.333428756177775654e+02
5.575000000000000000e+01,4.819752608862172849e+01,4.734235248716252897e+01,3.337668036660117536e+02
5.600000000000000000e+01,4.831914096916119661e+01,4.746932494098595612e+01,3.341881148422730803e+02
5.625000000000000000e+01,4.844013860812533778e+01,4.759572562004081675e+01,3.346067865480241608e+02
5.650000000000000000e+01,4.856050863859135092e+01,4.772154373129133376e+01,3.350227963835162655e+02
5.675000000000000000e+01,4.868024074740911544e+01,4.784676851666723252e+01,3.354361221589300612e+02
5.700000000000000000e+01,4.879932467608485069e+01,4.797138925722529734e+01,3.358467419036413162e+02
5.725000000000000000e+01,4.891775022165998621e+01,4.809539527684847116e+01,3.362546338738715690e+02
5.750000000000000000e+01,4.903550723758539220e+01,4.821877594554521096e+01,3.366597765589493747e+02
5.775000000000000000e+01,4.915258563459069308e+01,4.834152068240156552e+01,3.370621486863767586e+02
5.800000000000000000e+01,4.926897538154872791e+01,4.846361895823376642e+01,3.374617292258696466e+02
5.825000000000000000e+01,4.938466650633498745e+01,4.858506029798084569e+01,3.378584973925172790e+02
5.850000000000000000e+01,4.949964909668199908e+01,4.870583428287186223e+01,3.382524326491864599e+02
5.875000000000000000e+01,4.961391330102863151e+01,4.882593055239849633e+01,3.386435147082787012e+02
5.900000000000000000e+01,4.972744932936413420e+01,4.894533880611868426e+01,3.390317235329342793e+02
5.925000000000000000e+01,4.984024745406695445e+01,4.906404880531367496e+01,3.394170393377634127e+02
5.950000000000000000e+01,4.995229801073817555e+01,4.918205037451806305e+01,3.397994425891741912e+02
5.975000000000000000e+01,5.006359139902954780e+01,4.929933340293969479e+01,3.401789140053575693e+02
6.000000000000000000e+01,5.017411808346605540e+01,4.941588784578367211e+01,3.405554345559806393e+02
6.025000000000000000e+01,5.028386859426285582e+01,4.953137089131418236e+01,3.409289854616327489e+02
6.050000000000000000e+01,5.039283352813670547e+01,4.964648534248154021e+01,3.412997121676749543e+02
6.075000000000000000e+01,5.050100354911155165e+01,4.976083445298203145e+01,3.416674092428212361e+02
6.100000000000000000e+01,5.060836938931849716e+01,4.987440949882390839e+01,3.420320621179690193e+02
6.125000000000000000e+01,5.071492184978979623e+01,4.998720167380933788e+01,3.423936559560684145e+02
6.150000000000000000e+01,5.082065180124705250e+01,5.009920211286306113e+01,3.427521757265667475e+02
6.175000000000000000e+01,5.092555018488338447e+01,5.021040191210837378e+01,3.431076062687487820e+02
6.200000000000000000e+01,5.102960801313955130e+01,5.032079214615143314e+01,3.434599323455710191e+02
6.225000000000000000e+01,5.113281637047407457e+01,5.043036388296926731e+01,3.438091386893635217e+02
6.250000000000000000e+01,5.123516641412701489e+01,5.053910819674271693e+01,3.441552100405760939e+02
6.275000000000000000e+01,5.133664937487765911e+01,5.064701617892629315e+01,3.444981311805786959e+02
6.300000000000000000e+01,5.143725655779586248e+01,5.075407894780674667e+01,3.448378869593811942e+02
6.325000000000000000e+01,5.153697934298699579e+01,5.086028765676611130e+01,3.451744623190143102e+02
6.350000000000000000e+01,5.163580918633046934e+01,5.096563350143450322e+01,3.455078423132067087e+02
6.375000000000000000e+01,5.173373762021184774e+01,5.107010772589173797e+01,3.458380121239018195e+02
6.400000000000000000e+01,5.183075625424827848e+01,5.117370162805404021e+01,3.461649570750802809e+02
6.425000000000000000e+01,5.192685677600740490e+01,5.127640656436319944e+01,3.464886626442857391e+02
6.450000000000000000e+01,5.202203095171955738e+01,5.137821395387769741e+01,3.468091144721948922e+02
6.475000000000000000e+01,5.211627062698319435e+01,5.147911528185214536e+01,3.471262983705225906e+02
6.500000000000000000e+01,5.220956772746360031e+01,5.157910210287880659e+01,3.474402003285113665e+02
6.525000000000000000e+01,5.230191425958463469e+01,5.167816604365324196e+01,3.477508065182170753e+02
6.550000000000000000e+01,5.239330231121366666e+01,5.177629880541906715e+01,3.480581032987731191e+02
6.575000000000000000e+01,5.248372405233941151e+01,5.187349216613689151e+01,3.483620772197876363e+02
6.600000000000000000e+01,5.257317173574285363e+01,5.196973798241742770e+01,3.486627150240059336e+02
6.625000000000000000e+01,5.266163769766099279e+01,5.206502819125249459e+01,3.489600036493511084e+02
6.650000000000000000e+01,5.274911435844347096e+01,5.215935481157227116e+01,3.492539302304391526e+02
6.675000000000000000e+01,5.283559422320198706e+01,5.225270994565340033e+01,3.495444820996498834e+02
6.700000000000000000e+01,5.292106988245243571e+01,5.234508578039942961e+01,3.498316467878245248e+02
6.725000000000000000e+01,5.300553401274976295e+01,5.243647600352324645e+01,3.501154120246486059e+02
6.750000000000000000e+01,5.308897937731541106e+01,5.252686986281830173e+01,3.503957650416489287e+02
6.775000000000000000e+01,5.317139882665737360e+01,5.261626160611647407e+01,3.506726948022687225e+02
6.800000000000000000e+01,5.325278529918275439e+01,5.270464369556187023e+01,3.509461895815433081e+02
6.825000000000000000e+01,5.333313182180277323e+01,5.279200875182960573e+01,3.512162378891445087e+02
6.850000000000000000e+01,5.341243151053024008e+01,5.287834948820580649e+01,3.514828284348810712e+02
6.875000000000000000e+01,5.349067757106934096e+01,5.296365870598857128e+01,3.517459501269697739e+02
6.900000000000000000e+01,5.356786329939777858e+01,5.304792930459127831e+01,3.520055920728626120e+02
6.925000000000000000e+01,5.364398208234117504e+01,5.313115427266138369e+01,3.522617435753837185e+02
6.950000000000000000e+01,5.371902739813964445e+01,5.321332669380366553e+01,3.525143941335242062e+02
6.975000000000000000e+01,5.379299281700660629e+01,5.329443974509280935e+01,3.527635334406969605e+02
7.000000000000000000e+01,5.386587200167967637e+01,5.337448670061620959e+01,3.530091513839990967e+02
7.025000000000000000e+01,5.393765870796360673e+01,5.345346092735304921e+01,3.532512380420008071e+02
7.050000000000000000e+01,5.400834678526530297e+01,5.353135588895005981e+01,3.534897836848317638e+02
7.075000000000000000e+01,5.407793017712079120e+01,5.360816514538490907e+01,3.537247787726707884e+02
7.100000000000000000e+01,5.414640292171415581e+01,5.368388235346809978e+01,3.539562139546611661e+02
7.125000000000000000e+01,5.421375915238829180e+01,5.375850126733310930e+01,3.541840800678343157e+02
7.150000000000000000e+01,5.427999309814758533e+01,5.383201573846162091e+01,3.544083681360435776e+02
7.175000000000000000e+01,5.434509908415236623e+01,5.390441971803803511e+01,3.546290693691331626e+02
7.200000000000000000e+01,5.440907153220508974e+01,5.397570725445815043e+01,3.548461751611909563e+02
7.225000000000000000e+01,5.447190496122831149e+01,5.404587249583136810e+01,3.550596770902678827e+02
