t_h,T_plate_C,T_heater_C,mdot_kgs,T_gas_out_C
2.680315331215437080e+00,2.197207475618953936e+02,3.026747188356000606e+02,4.537011558921035248e-01,6.445116961758174057e+01
2.700317684433462873e+00,2.197303055150543969e+02,3.026893356026334914e+02,4.537084906880654023e-01,6.445387338223105189e+01
2.720320037651488221e+00,2.197399508830604873e+02,3.027040460563699753e+02,4.537158925663886122e-01,6.445660187489164628e+01
2.740322390869514013e+00,2.197496835481674680e+02,3.027188499640768669e+02,4.537233614367144341e-01,6.445935506225526979e+01
2.760324744087539806e+00,2.197595033905988657e+02,3.027337470932865244e+02,4.537308972071261159e-01,6.446213291043949312e+01
2.780327097305565154e+00,2.197694102886081851e+02,3.027487372118024496e+02,4.537384997841951706e-01,6.446493538500453724e+01
2.800329450523590946e+00,2.197794041185375136e+02,3.027638200877050849e+02,4.537461690730261177e-01,6.446776245096981484e+01
2.820331803741616739e+00,2.197894847548748203e+02,3.027789954893582944e+02,4.537539049773008371e-01,6.447061407283047174e+01
2.840334156959642531e+00,2.197996520703098327e+02,3.027942631854151614e+02,4.537617073993210348e-01,6.447349021457279150e+01
2.860336510177667879e+00,2.198099059357885494e+02,3.028096229448244685e+02,4.537695762400503763e-01,6.447639083968977047e+01
2.880338863395693672e+00,2.198202462205665597e+02,3.028250745368368371e+02,4.537775113991553422e-01,6.447931591119629502e+01
2.900341216613719464e+00,2.198306727922608843e+02,3.028406177310112071e+02,4.537855127750448636e-01,6.448226539164380711e+01
2.920343569831744812e+00,2.198411855169006799e+02,3.028562522972208626e+02,4.537935802649094019e-01,6.448523924313440148e+01
2.940345923049770605e+00,2.198517842589767497e+02,3.028719780056597983e+02,4.538017137647589183e-01,6.448823742733509334e+01
2.960348276267796397e+00,2.198624688814898605e+02,3.028877946268491996e+02,4.538099131694598443e-01,6.449125990549134713e+01
2.980350629485821745e+00,2.198732392459979792e+02,3.029037019316433543e+02,4.538181783727714969e-01,6.449430663844066203e+01
3.000352982703847537e+00,2.198840952126623165e+02,3.029196996912361328e+02,4.538265092673811618e-01,6.449737758662513443e+01
3.020355335921873330e+00,2.198950366402921759e+02,3.029357876771671272e+02,4.538349057449387880e-01,6.450047271010464556e+01
3.040357689139898678e+00,2.199060633863890075e+02,3.029519656613277903e+02,4.538433676960906826e-01,6.450359196856902599e+01
3.060360042357924470e+00,2.199171753071892681e+02,3.029682334159676884e+02,4.538518950105123739e-01,6.450673532135027699e+01
3.080362395575950263e+00,2.199283722577063145e+02,3.029845907137005270e+02,4.538604875769406966e-01,6.450990272743439391e+01
3.100364748793975611e+00,2.199396540917713310e+02,3.030010373275099482e+02,4.538691452832054329e-01,6.451309414547307597e+01
3.120367102012001403e+00,2.199510206620731765e+02,3.030175730307557842e+02,4.538778680162596224e-01,6.451630953379464017e+01
3.140369455230027196e+00,2.199624718201975497e+02,3.030341975971799684e+02,4.538866556622097592e-01,6.451954885041561738e+01
3.160371808448052544e+00,2.199740074166650174e+02,3.030509108009122201e+02,4.538955081063449915e-01,6.452281205305098410e+01
3.180374161666078336e+00,2.199856273009683605e+02,3.030677124164757288e+02,4.539044252331657092e-01,6.452609909912513331e+01
3.200376514884104129e+00,2.199973313216088400e+02,3.030846022187930657e+02,4.539134069264114668e-01,6.452940994578193568e+01
3.220378868102129477e+00,2.200091193261318381e+02,3.031015799831918685e+02,4.539224530690882387e-01,6.453274454989485776e+01
3.240381221320155269e+00,2.200209911611614757e+02,3.031186454854100703e+02,4.539315635434948981e-01,6.453610286807673901e+01
3.260383574538181062e+00,2.200329466724346617e+02,3.031357985016015846e+02,4.539407382312496964e-01,6.453948485668945523e+01
3.280385927756206410e+00,2.200449857048341755e+02,3.031530388083415346e+02,4.539499770133152423e-01,6.454289047185329764e+01
3.300388280974232202e+00,2.200571081024210116e+02,3.031703661826317102e+02,4.539592797700235938e-01,6.454631966945601107e+01
3.320390634192257995e+00,2.200693137084660975e+02,3.031877804019056839e+02,4.539686463811005157e-01,6.454977240516200254e+01
3.340392987410283787e+00,2.200816023654811602e+02,3.032052812440340404e+02,4.539780767256890726e-01,6.455324863442069727e+01
3.360395340628309135e+00,2.200939739152489665e+02,3.032228684873290376e+02,4.539875706823730539e-01,6.455674831247546308e+01
3.380397693846334928e+00,2.201064281988528819e+02,3.032405419105499504e+02,4.539971281291994010e-01,6.456027139437179585e+01
3.400400047064360720e+00,2.201189650567055764e+02,3.032583012929077313e+02,4.540067489437004666e-01,6.456381783496544813e+01
3.420402400282386068e+00,2.201315843285773894e+02,3.032761464140697854e+02,4.540164330029156092e-01,6.456738758893050090e+01
3.440404753500411861e+00,2.201442858536238418e+02,3.032940770541645179e+02,4.540261801834123423e-01,6.457098061076698059e+01
3.460407106718437653e+00,2.201570694704124094e+02,3.033120929937862229e+02,4.540359903613070403e-01,6.457459685480881717e+01
3.480409459936463001e+00,2.201699350169490685e+02,3.033301940139990620e+02,4.540458634122850334e-01,6.457823627523083587e+01
3.500411813154488794e+00,2.201828823307037624e+02,3.033483798963418394e+02,4.540557992116204256e-01,6.458189882605643106e+01
3.520414166372514586e+00,2.201959112486356958e+02,3.033666504228320946e+02,4.540657976341953006e-01,6.458558446116433061e+01
3.540416519590539934e+00,2.202090216072177782e+02,3.033850053759703087e+02,4.540758585545186521e-01,6.458929313429592867e+01
3.560418872808565727e+00,2.202222132424607821e+02,3.034034445387438836e+02,4.540859818467445908e-01,6.459302479906170902e+01
3.580421226026591519e+00,2.202354859899365920e+02,3.034219676946314621e+02,4.540961673846907742e-01,6.459677940894806625e+01
3.600423579244616867e+00,2.202488396848011689e+02,3.034405746276063383e+02,4.541064150418553380e-01,6.460055691732372907e+01
3.620425932462642660e+00,2.202622741618170608e+02,3.034592651221406641e+02,4.541167246914347699e-01,6.460435727744612677e+01
3.640428285680668452e+00,2.202757892553751731e+02,3.034780389632089737e+02,4.541270962063402861e-01,6.460818044246764202e+01
3.660430638898693800e+00,2.202893847995161423e+02,3.034968959362918213e+02,4.541375294592141509e-01,6.461202636544135203e+01
3.680432992116719593e+00,2.203030606279513108e+02,3.035158358273793056e+02,4.541480243224461644e-01,6.461589499932750869e+01
3.700435345334745385e+00,2.203168165740830773e+02,3.035348584229743665e+02,4.541585806681888160e-01,6.461978629699865451e+01
3.720437698552770733e+00,2.203306524710249050e+02,3.035539635100963096e+02,4.541691983683731060e-01,6.462370021124581854e+01
3.740440051770796526e+00,2.203445681516207628e+02,3.035731508762839894e+02,4.541798772947230889e-01,6.462763669478363227e+01
3.760442404988822318e+00,2.203585634484642810e+02,3.035924203095988787e+02,4.541906173187706397e-01,6.463159570025607081e+01
3.780444758206847666e+00,2.203726381939171688e+02,3.036117715986281382e+02,4.542014183118697757e-01,6.463557718024145515e+01
3.800447111424873459e+00,2.203867922201276883e+02,3.036312045324876863e+02,4.542122801452106451e-01,6.463958108725756802e+01
3.820449464642899251e+00,2.204010253590481625e+02,3.036507189008249270e+02,4.542232026898331276e-01,6.464360737376699717e+01
3.840451817860924599e+00,2.204153374424524827e+02,3.036703144938215928e+02,4.542341858166400459e-01,6.464765599218168290e+01
3.860454171078950392e+00,2.204297283019530482e+02,3.036899911021965863e+02,4.542452293964103771e-01,6.465172689486797708e+01
3.880456524296976184e+00,2.204441977690173644e+02,3.037097485172083680e+02,4.542563332998119097e-01,6.465582003415124746e+01
3.900458877515001976e+00,2.204587456749841294e+02,3.037295865306575706e+02,4.542674973974135111e-01,6.465993536232031147e+01
3.920461230733027325e+00,2.204733718510792073e+02,3.037495049348895009e+02,4.542787215596975070e-01,6.466407283163226793e+01
3.940463583951053117e+00,2.204880761284310324e+02,3.037695035227962990e+02,4.542900056570715606e-01,6.466823239431641923e+01
3.960465937169078909e+00,2.205028583380855594e+02,3.037895820878196673e+02,4.543013495598797746e-01,6.467241400257893247e+01
3.980468290387104258e+00,2.205177183110212695e+02,3.038097404239525758e+02,4.543127531384147932e-01,6.467661760860681852e+01
4.000470643605130050e+00,2.205326558781633821e+02,3.038299783257415356e+02,4.543242162629280712e-01,6.468084316457191107e+01
4.020472996823155398e+00,2.205476708703980080e+02,3.038502955882887591e+02,4.543357388036413647e-01,6.468509062263518672e+01
4.040475350041181635e+00,2.205627631185857922e+02,3.038706920072538651e+02,4.543473206307566126e-01,6.468935993495023240e+01
4.060477703259206983e+00,2.205779324535753858e+02,3.038911673788560392e+02,4.543589616144667054e-01,6.469365105366739499e+01
4.080480056477232331e+00,2.205931787062166904e+02,3.039117214998757390e+02,4.543706616249654773e-01,6.469796393093724873e+01
4.100482409695258568e+00,2.206085017073733638e+02,3.039323541676561717e+02,4.543824205324573096e-01,6.470229851891429007e+01
4.120484762913283916e+00,2.206239012879355528e+02,3.039530651801054546e+02,4.543942382071668451e-01,6.470665476976063246e+01
4.140487116131309264e+00,2.206393772788320007e+02,3.039738543356975242e+02,4.544061145193484252e-01,6.471103263564913277e+01
4.160489469349335501e+00,2.206549295110419848e+02,3.039947214334742966e+02,4.544180493392951381e-01,6.471543206876702925e+01
4.180491822567360849e+00,2.206705578156067986e+02,3.040156662730465769e+02,4.544300425373476449e-01,6.471985302131906792e+01
4.200494175785386197e+00,2.206862620236413477e+02,3.040366886545957641e+02,4.544420939839032281e-01,6.472429544553091318e+01
4.220496529003412434e+00,2.207020419663450639e+02,3.040577883788749887e+02,4.544542035494238408e-01,6.472875929365198999e+01
4.240498882221437782e+00,2.207178974750126486e+02,3.040789652472103626e+02,4.544663711044446552e-01,6.473324451795878076e+01
4.260501235439463130e+00,2.207338283810448161e+02,3.041002190615021163e+02,4.544785965195821120e-01,6.473775107075772439e+01
4.280503588657489367e+00,2.207498345159584687e+02,3.041215496242257359e+02,4.544908796655420247e-01,6.474227890438817212e+01
4.300505941875514715e+00,2.207659157113967012e+02,3.041429567384329857e+02,4.545032204131267961e-01,6.474682797122505917e+01
4.320508295093540063e+00,2.207820717991387482e+02,3.041644402077525910e+02,4.545156186332434678e-01,6.475139822368197429e+01
4.340510648311566300e+00,2.207983026111094205e+02,3.041859998363917157e+02,4.545280741969107141e-01,6.475598961421354716e+01
4.360513001529591648e+00,2.208146079793884269e+02,3.042076354291361895e+02,4.545405869752660588e-01,6.476060209531834744e+01
4.380515354747616996e+00,2.208309877362195266e+02,3.042293467913516452e+02,4.545531568395730360e-01,6.476523561954127217e+01
4.400517707965643233e+00,2.208474417140193964e+02,3.042511337289840867e+02,4.545657836612277958e-01,6.476989013947621743e+01
4.420520061183668581e+00,2.208639697453862709e+02,3.042729960485606853e+02,4.545784673117658214e-01,6.477456560776829519e+01
4.440522414401693929e+00,2.208805716631082987e+02,3.042949335571901202e+02,4.545912076628683129e-01,6.477926197711650502e+01
4.460524767619720166e+00,2.208972473001718981e+02,3.043169460625632610e+02,4.546040045863686818e-01,6.478397920027578039e+01
4.480527120837745514e+00,2.209139964897697155e+02,3.043390333729537360e+02,4.546168579542584909e-01,6.478871723005948979e+01
4.500529474055770862e+00,2.209308190653084125e+02,3.043611952972181598e+02,4.546297676386937825e-01,6.479347601934159684e+01
4.520531827273797099e+00,2.209477148604162267e+02,3.043834316447965875e+02,4.546427335120002966e-01,6.479825552105853603e+01
4.540534180491822447e+00,2.209646837089505311e+02,3.044057422257129701e+02,4.546557554466798545e-01,6.480305568821182760e+01
4.560536533709847795e+00,2.209817254450049973e+02,3.044281268505751541e+02,4.546688333154155770e-01,6.480787647386961225e+01
4.580538886927874032e+00,2.209988399029165294e+02,3.044505853305753362e+02,4.546819669910771577e-01,6.481271783116892493e+01
4.600541240145899380e+00,2.210160269172723133e+02,3.044731174774900637e+02,4.546951563467264701e-01,6.481757971331768431e+01
4.620543593363925616e+00,2.210332863229163536e+02,3.044957231036803478e+02,4.547084012556223964e-01,6.482246207359628443e+01
